country,year,pop,continent,lifeExp,gdpPercap
Tunisia,2007,10276158,Africa,73.923,7092.923025
Turkey,1992,58179144,Europe,66.146,5678.348271
Turkey,1997,63047647,Europe,68.835,6601.429915
Turkey,2002,67308928,Europe,70.845,6508.085718
Turkey,2007,71158647,Europe,71.777,8458.276384
Uganda,1992,18252190,Africa,48.825,644.1707969
Uganda,1997,21210254,Africa,44.578,816.559081
Uganda,2002,24739869,Africa,47.813,927.7210018
Uganda,2007,29170398,Africa,51.542,1056.380121
United Kingdom,1992,57866349,Europe,76.42,22705.09254
United Kingdom,1997,58808266,Europe,77.218,26074.53136
United Kingdom,2002,59912431,Europe,78.471,29478.99919
United Kingdom,2007,60776238,Europe,79.425,33203.26128
United States,1992,256894189,Americas,76.09,32003.93224
United States,1997,272911760,Americas,76.81,35767.43303
United States,2002,287675526,Americas,77.31,39097.09955
United States,2007,301139947,Americas,78.242,42951.65309
Uruguay,1992,3149262,Americas,72.752,8137.004775
Uruguay,1997,3262838,Americas,74.223,9230.240708
Uruguay,2002,3363085,Americas,75.307,7727.002004
Uruguay,2007,3447496,Americas,76.384,10611.46299
Venezuela,1992,20265563,Americas,71.15,10733.92631
Venezuela,1997,22374398,Americas,72.146,10165.49518
Venezuela,2002,24287670,Americas,72.766,8605.047831
Venezuela,2007,26084662,Americas,73.747,11415.80569
Vietnam,1992,69940728,Asia,67.662,989.0231487
Vietnam,1997,76048996,Asia,70.672,1385.896769
Vietnam,2002,80908147,Asia,73.017,1764.456677
Vietnam,2007,85262356,Asia,74.249,2441.576404
West Bank and Gaza,1992,2104779,Asia,69.718,6017.654756
West Bank and Gaza,1997,2826046,Asia,71.096,7110.667619
West Bank and Gaza,2002,3389578,Asia,72.37,4515.487575
West Bank and Gaza,2007,4018332,Asia,73.422,3025.349798
Yemen Rep.,1992,13367997,Asia,55.599,1879.496673
Yemen Rep.,1997,15826497,Asia,58.02,2117.484526
Yemen Rep.,2002,18701257,Asia,60.308,2234.820827
Yemen Rep.,2007,22211743,Asia,62.698,2280.769906
Zambia,1992,8381163,Africa,46.1,1210.884633
Zambia,1997,9417789,Africa,40.238,1071.353818
Zambia,2002,10595811,Africa,39.193,1071.613938
Zambia,2007,11746035,Africa,42.384,1271.211593
Zimbabwe,1992,10704340,Africa,60.377,693.4207856
Zimbabwe,1997,11404948,Africa,46.809,792.4499603
Zimbabwe,2002,11926563,Africa,39.989,672.0386227
Zimbabwe,2007,12311143,Africa,43.487,469.7092981
